,,,,,,（単位：千円）,
令　　　　　和　　　　　元　　　　　年　　　　　度,,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計,
,,,,,,,
,社会保障関係費,,,,,,
,,,,12048846416,－,12048846416,
,1.,年金給付費,,12048846416,－,12048846416,
,,,,11854303362,-19302141,11835001221,
,2.,医療給付費,,11854303362,-19302141,11835001221,
,,,,3210107055,-762515,3209344540,
,3.,介護給付費,,3210107055,-762515,3209344540,
,,,,2344019259,-27286533,2316732726,
,4.,少子化対策費,,2344019259,-27286533,2316732726,
,,,,4143215114,24959485,4168174599,
,5.,生活扶助等社会福祉費,,4180509767,24959485,4205469252,
,,,,352077614,25497074,377574688,
,6.,保健衛生対策費,,382709991,25497074,408207065,
,,,,38784529,－,38784529,
,7.,雇用労災対策費,,38784529,－,38784529,
,,,,33991353349,3105370,33994458719,
,計,,,34059280379,3105370,34062385749,
,文教及び科学振興費,,,,,,
,,,,1520033000,7135499,1527168499, 
,1.,義務教育費国庫負担金,,1520033000,7135499,1527168499,
,,,,1337833231,553094435,1890927666,
,2.,科学技術振興費,,1359747607,553094435,1912842042,
,,,,70368673,85318726,155687399,
,3.,文教施設費,,169382099,85318726,254700825,
,,,,2316596496,69837792,2386434288,
,4.,教育振興助成費,,2415805586,69837792,2485643378,
,,,,137535838,-125,137535713,
,5.,育英事業費,,137535838,-125,137535713,
,,,,5382367238,715386327,6097753565,
,計,,,5602504130,715386327,6317890457,
,,,,23508189546,-1001947432,22506242114,
,国債費,,,23508189546,-1001947432,22506242114,
,恩給関係費,,,,,,
,,,,7472472,-21000,7451472,
,1.,文官等恩給費,,7472472,-21000,7451472,
,,,,191424410,－,191424410,
,2.,旧軍人遺族等恩給費,,191424410,－,191424410,
,,,,1062760,-113769,948991,
,3.,恩給支給事務費,,1062760,-113769,948991,
,,,,9749771,-154904,9594867,
,4.,遺族及び留守家族等援護費,,9749771,-154904,9594867,
,,,,209709413,-289673,209419740,
,計,,,209709413,-289673,209419740,
,,,,15551003600,13166000,15564169600,
,地方交付税交付金,,,15551003600,13166000,15564169600,
,,,,434027679,34243145,468270824,
,地方特例交付金,,,434027679,34243145,468270824,
,,,,5206604065,417405923,5624009988,
,防衛関係費,,,5257439983,417405923,5674845906,
,公共事業関係費,,,,,,
,,,,897571000,263986157,1161557157,
,1.,治山治水対策事業費,,1120597000,263986157,1384583157,
,,,,1421231000,169996909,1591227909,
,2.,道路整備事業費,,1549136000,169996909,1719132909,
,,,,427840000,35277333,463117333,
,3.,港湾空港鉄道等整備事業費,,483072000,35277333,518349333,
,,,,574566000,51537473,626103473,
,4.,住宅都市環境整備事業費,,597782000,51537473,649319473,
,,,,113598000,69150021,182748021,
,5.,公園水道廃棄物処理等施設整備費,,128598000,69150021,197748021,
,,,,611891000,194005115,805896115,
,6.,農林水産基盤整備事業費,,706114000,194005115,900119115,
,,,,1876961000,292469000,2169430000,
,7.,社会資本総合整備事業費,,2188659000,292469000,2481128000,
,,,,60902000,3000000,63902000,
,8.,推進費等,,60902000,3000000,63902000,
,,,,5984560000,1079422008,7063982008,
,小　　　　　　計,,,6834860000,1079422008,7914282008,
,,,,75049000,485883000,560932000,
,9.,災害復旧等事業費,,75049000,485883000,560932000,
,,,,6059609000,1565305008,7624914008,
,計,,,6909909000,1565305008,8475214008,
,,,,502068705,128145475,630214180,
,経済協力費,,,502068705,128145475,630214180,
,,,,173999736,441520113,615519849,
,中小企業対策費,,,178999736,441520113,620519849,
,,,,910446895,73708113,984155008,
,エネルギー対策費,,,976017075,73708113,1049725188,
,,,,981586895,219476554,1201063449,
,食料安定供給関係費,,,982326403,219476554,1201802957,
,,,,6018149859,433477500,6451627359,
,その他の事項経費,,,6785617921,585346575,7370964496,
,,,,500000000,－,500000000,
,予備費,,,500000000,－,500000000,
,,,,,,,
,,,,99429115980,3042702423,102471818403,
,合　　　　　　計,,,101457093570,3194571498,104651665068,
